CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2023-44487;SNYK-AMZN201803-GOLANGSRC-6003674;https://security.snyk.io/vuln/SNYK-AMZN201803-GOLANGSRC-6003674;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-GOLANGTESTS-6003669;https://security.snyk.io/vuln/SNYK-AMZN201803-GOLANGTESTS-6003669;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-LIBNGHTTP2-6003653;https://security.snyk.io/vuln/SNYK-AMZN201803-LIBNGHTTP2-6003653;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-LIBNGHTTP2DEVEL-6003686;https://security.snyk.io/vuln/SNYK-AMZN201803-LIBNGHTTP2DEVEL-6003686;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGHTTP2-6003658;https://security.snyk.io/vuln/SNYK-AMZN201803-NGHTTP2-6003658;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGHTTP2DEBUGINFO-6003673;https://security.snyk.io/vuln/SNYK-AMZN201803-NGHTTP2DEBUGINFO-6003673;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINX-6003667;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINX-6003667;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXALLMODULES-6003648;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXALLMODULES-6003648;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXDEBUGINFO-6003656;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXDEBUGINFO-6003656;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXMODHTTPGEOIP-6003678;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXMODHTTPGEOIP-6003678;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXMODHTTPIMAGEFILTER-6003694;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXMODHTTPIMAGEFILTER-6003694;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXMODHTTPPERL-6003683;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXMODHTTPPERL-6003683;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXMODHTTPXSLTFILTER-6003676;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXMODHTTPXSLTFILTER-6003676;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXMODMAIL-6003677;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXMODMAIL-6003677;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-NGINXMODSTREAM-6003664;https://security.snyk.io/vuln/SNYK-AMZN201803-NGINXMODSTREAM-6003664;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP56PECLIMAGICK-5888705;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP56PECLIMAGICK-5888705;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP56PECLIMAGICKDEBUGINFO-5889468;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP56PECLIMAGICKDEBUGINFO-5889468;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP70PECLIMAGICK-5888783;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP70PECLIMAGICK-5888783;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP70PECLIMAGICKDEBUGINFO-5888832;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP70PECLIMAGICKDEBUGINFO-5888832;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP70PECLIMAGICKDEVEL-5888785;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP70PECLIMAGICKDEVEL-5888785;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP71PECLIMAGICK-5889188;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP71PECLIMAGICK-5889188;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP71PECLIMAGICKDEBUGINFO-5889207;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP71PECLIMAGICKDEBUGINFO-5889207;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP71PECLIMAGICKDEVEL-5889050;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP71PECLIMAGICKDEVEL-5889050;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP72PECLIMAGICK-5889232;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP72PECLIMAGICK-5889232;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP72PECLIMAGICKDEBUGINFO-5889241;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP72PECLIMAGICKDEBUGINFO-5889241;yes;no;no;no;
CVE-2018-9133;SNYK-AMZN201803-PHP72PECLIMAGICKDEVEL-5889254;https://security.snyk.io/vuln/SNYK-AMZN201803-PHP72PECLIMAGICKDEVEL-5889254;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8-6003668;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8-6003668;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8ADMINWEBAPPS-6003679;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8ADMINWEBAPPS-6003679;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8DOCSWEBAPP-6003690;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8DOCSWEBAPP-6003690;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8EL30API-6003703;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8EL30API-6003703;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8JAVADOC-6003661;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8JAVADOC-6003661;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8JSP23API-6003695;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8JSP23API-6003695;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8LIB-6003697;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8LIB-6003697;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8LOG4J-6003689;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8LOG4J-6003689;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8SERVLET31API-6003687;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8SERVLET31API-6003687;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN201803-TOMCAT8WEBAPPS-6003691;https://security.snyk.io/vuln/SNYK-AMZN201803-TOMCAT8WEBAPPS-6003691;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-ASPNETCORERUNTIME60-5971026;https://security.snyk.io/vuln/SNYK-AMZN2023-ASPNETCORERUNTIME60-5971026;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-ASPNETCORETARGETINGPACK60-5971081;https://security.snyk.io/vuln/SNYK-AMZN2023-ASPNETCORETARGETINGPACK60-5971081;yes;no;no;no;
CVE-2023-6516;SNYK-AMZN2023-BIND-6393992;https://security.snyk.io/vuln/SNYK-AMZN2023-BIND-6393992;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNET-5971082;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNET-5971082;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNET60DEBUGINFO-5971031;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNET60DEBUGINFO-5971031;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNET60DEBUGSOURCE-5971048;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNET60DEBUGSOURCE-5971048;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETAPPHOSTPACK60-5971040;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETAPPHOSTPACK60-5971040;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETAPPHOSTPACK60DEBUGINFO-5971046;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETAPPHOSTPACK60DEBUGINFO-5971046;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETHOST-5971045;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETHOST-5971045;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETHOSTDEBUGINFO-5971030;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETHOSTDEBUGINFO-5971030;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETHOSTFXR60-5971027;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETHOSTFXR60-5971027;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETHOSTFXR60DEBUGINFO-5971029;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETHOSTFXR60DEBUGINFO-5971029;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETRUNTIME60-5971055;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETRUNTIME60-5971055;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETRUNTIME60DEBUGINFO-5971053;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETRUNTIME60DEBUGINFO-5971053;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETSDK60-5971050;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETSDK60-5971050;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETSDK60DEBUGINFO-5971052;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETSDK60DEBUGINFO-5971052;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETSDK60SOURCEBUILTARTIFACTS-5971028;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETSDK60SOURCEBUILTARTIFACTS-5971028;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETTARGETINGPACK60-5971098;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETTARGETINGPACK60-5971098;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-DOTNETTEMPLATES60-5971033;https://security.snyk.io/vuln/SNYK-AMZN2023-DOTNETTEMPLATES60-5971033;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-ECSSERVICECONNECTAGENT-6045687;https://security.snyk.io/vuln/SNYK-AMZN2023-ECSSERVICECONNECTAGENT-6045687;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2-5912319;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2-5912319;yes;no;no;no;
CVE-2021-46829;SNYK-AMZN2023-GDKPIXBUF2DEBUGINFO-5912401;https://security.snyk.io/vuln/SNYK-AMZN2023-GDKPIXBUF2DEBUGINFO-5912401;yes;no;no;no;
